U+0023	#	['NUMBER', 'SIGN']
U+101DE	𐇞	['PHAISTOS', 'DISC', 'SIGN', 'MATTOCK']
U+101DF	𐇟	['PHAISTOS', 'DISC', 'SIGN', 'SAW']
U+101E0	𐇠	['PHAISTOS', 'DISC', 'SIGN', 'LID']
U+101E1	𐇡	['PHAISTOS', 'DISC', 'SIGN', 'BOOMERANG']
U+101E2	𐇢	['PHAISTOS', 'DISC', 'SIGN', 'CARPENTRY', 'PLANE']
U+101E3	𐇣	['PHAISTOS', 'DISC', 'SIGN', 'DOLIUM']
U+101E4	𐇤	['PHAISTOS', 'DISC', 'SIGN', 'COMB']
U+101E5	𐇥	['PHAISTOS', 'DISC', 'SIGN', 'SLING']
U+101E6	𐇦	['PHAISTOS', 'DISC', 'SIGN', 'COLUMN']
U+101E7	𐇧	['PHAISTOS', 'DISC', 'SIGN', 'BEEHIVE']
U+101E8	𐇨	['PHAISTOS', 'DISC', 'SIGN', 'SHIP']
U+101E9	𐇩	['PHAISTOS', 'DISC', 'SIGN', 'HORN']
U+101EA	𐇪	['PHAISTOS', 'DISC', 'SIGN', 'HIDE']
U+101EB	𐇫	['PHAISTOS', 'DISC', 'SIGN', 'BULLS', 'LEG']
U+101EC	𐇬	['PHAISTOS', 'DISC', 'SIGN', 'CAT']
U+101ED	𐇭	['PHAISTOS', 'DISC', 'SIGN', 'RAM']
U+101EE	𐇮	['PHAISTOS', 'DISC', 'SIGN', 'EAGLE']
U+101EF	𐇯	['PHAISTOS', 'DISC', 'SIGN', 'DOVE']
U+101F0	𐇰	['PHAISTOS', 'DISC', 'SIGN', 'TUNNY']
U+101F1	𐇱	['PHAISTOS', 'DISC', 'SIGN', 'BEE']
U+101F2	𐇲	['PHAISTOS', 'DISC', 'SIGN', 'PLANE', 'TREE']
U+101F3	𐇳	['PHAISTOS', 'DISC', 'SIGN', 'VINE']
U+101F4	𐇴	['PHAISTOS', 'DISC', 'SIGN', 'PAPYRUS']
U+101F5	𐇵	['PHAISTOS', 'DISC', 'SIGN', 'ROSETTE']
U+101F6	𐇶	['PHAISTOS', 'DISC', 'SIGN', 'LILY']
U+101F7	𐇷	['PHAISTOS', 'DISC', 'SIGN', 'OX', 'BACK']
U+101F8	𐇸	['PHAISTOS', 'DISC', 'SIGN', 'FLUTE']
U+101F9	𐇹	['PHAISTOS', 'DISC', 'SIGN', 'GRATER']
U+101FA	𐇺	['PHAISTOS', 'DISC', 'SIGN', 'STRAINER']
U+101FB	𐇻	['PHAISTOS', 'DISC', 'SIGN', 'SMALL', 'AXE']
U+101FC	𐇼	['PHAISTOS', 'DISC', 'SIGN', 'WAVY', 'BAND']
U+101FD	𐇽	['PHAISTOS', 'DISC', 'SIGN', 'COMBINING', 'OBLIQUE', 'STROKE']
U+103A0	𐎠	['OLD', 'PERSIAN', 'SIGN', 'A']
U+103A1	𐎡	['OLD', 'PERSIAN', 'SIGN', 'I']
U+103A2	𐎢	['OLD', 'PERSIAN', 'SIGN', 'U']
U+103A3	𐎣	['OLD', 'PERSIAN', 'SIGN', 'KA']
U+103A4	𐎤	['OLD', 'PERSIAN', 'SIGN', 'KU']
U+103A5	𐎥	['OLD', 'PERSIAN', 'SIGN', 'GA']
U+103A6	𐎦	['OLD', 'PERSIAN', 'SIGN', 'GU']
U+103A7	𐎧	['OLD', 'PERSIAN', 'SIGN', 'XA']
U+103A8	𐎨	['OLD', 'PERSIAN', 'SIGN', 'CA']
U+103A9	𐎩	['OLD', 'PERSIAN', 'SIGN', 'JA']
U+103AA	𐎪	['OLD', 'PERSIAN', 'SIGN', 'JI']
U+103AB	𐎫	['OLD', 'PERSIAN', 'SIGN', 'TA']
U+103AC	𐎬	['OLD', 'PERSIAN', 'SIGN', 'TU']
U+103AD	𐎭	['OLD', 'PERSIAN', 'SIGN', 'DA']
U+103AE	𐎮	['OLD', 'PERSIAN', 'SIGN', 'DI']
U+103AF	𐎯	['OLD', 'PERSIAN', 'SIGN', 'DU']
U+103B0	𐎰	['OLD', 'PERSIAN', 'SIGN', 'THA']
U+103B1	𐎱	['OLD', 'PERSIAN', 'SIGN', 'PA']
U+103B2	𐎲	['OLD', 'PERSIAN', 'SIGN', 'BA']
U+103B3	𐎳	['OLD', 'PERSIAN', 'SIGN', 'FA']
U+103B4	𐎴	['OLD', 'PERSIAN', 'SIGN', 'NA']
U+103B5	𐎵	['OLD', 'PERSIAN', 'SIGN', 'NU']
U+103B6	𐎶	['OLD', 'PERSIAN', 'SIGN', 'MA']
U+103B7	𐎷	['OLD', 'PERSIAN', 'SIGN', 'MI']
U+103B8	𐎸	['OLD', 'PERSIAN', 'SIGN', 'MU']
U+103B9	𐎹	['OLD', 'PERSIAN', 'SIGN', 'YA']
U+103BA	𐎺	['OLD', 'PERSIAN', 'SIGN', 'VA']
U+103BB	𐎻	['OLD', 'PERSIAN', 'SIGN', 'VI']
U+103BC	𐎼	['OLD', 'PERSIAN', 'SIGN', 'RA']
U+103BD	𐎽	['OLD', 'PERSIAN', 'SIGN', 'RU']
U+103BE	𐎾	['OLD', 'PERSIAN', 'SIGN', 'LA']
U+103BF	𐎿	['OLD', 'PERSIAN', 'SIGN', 'SA']
U+103C0	𐏀	['OLD', 'PERSIAN', 'SIGN', 'ZA']
U+103C1	𐏁	['OLD', 'PERSIAN', 'SIGN', 'SHA']
U+103C2	𐏂	['OLD', 'PERSIAN', 'SIGN', 'SSA']
U+103C3	𐏃	['OLD', 'PERSIAN', 'SIGN', 'HA']
U+103C8	𐏈	['OLD', 'PERSIAN', 'SIGN', 'AURAMAZDAA']
U+103C9	𐏉	['OLD', 'PERSIAN', 'SIGN', 'AURAMAZDAA', '2']
U+103CA	𐏊	['OLD', 'PERSIAN', 'SIGN', 'AURAMAZDAAHA']
U+103CB	𐏋	['OLD', 'PERSIAN', 'SIGN', 'XSHAAYATHIYA']
U+103CC	𐏌	['OLD', 'PERSIAN', 'SIGN', 'DAHYAAUSH']
U+103CD	𐏍	['OLD', 'PERSIAN', 'SIGN', 'DAHYAAUSH', '2']
U+103CE	𐏎	['OLD', 'PERSIAN', 'SIGN', 'BAGA']
U+103CF	𐏏	['OLD', 'PERSIAN', 'SIGN', 'BUUMISH']
U+10600	𐘀	['LINEAR', 'A', 'SIGN', 'AB001']
U+10601	𐘁	['LINEAR', 'A', 'SIGN', 'AB002']
U+10602	𐘂	['LINEAR', 'A', 'SIGN', 'AB003']
U+10603	𐘃	['LINEAR', 'A', 'SIGN', 'AB004']
U+10604	𐘄	['LINEAR', 'A', 'SIGN', 'AB005']
U+10605	𐘅	['LINEAR', 'A', 'SIGN', 'AB006']
U+10606	𐘆	['LINEAR', 'A', 'SIGN', 'AB007']
U+10607	𐘇	['LINEAR', 'A', 'SIGN', 'AB008']
U+10608	𐘈	['LINEAR', 'A', 'SIGN', 'AB009']
U+10609	𐘉	['LINEAR', 'A', 'SIGN', 'AB010']
U+1060A	𐘊	['LINEAR', 'A', 'SIGN', 'AB011']
U+1060B	𐘋	['LINEAR', 'A', 'SIGN', 'AB013']
U+1060C	𐘌	['LINEAR', 'A', 'SIGN', 'AB016']
U+1060D	𐘍	['LINEAR', 'A', 'SIGN', 'AB017']
U+1060E	𐘎	['LINEAR', 'A', 'SIGN', 'AB020']
U+1060F	𐘏	['LINEAR', 'A', 'SIGN', 'AB021']
U+10610	𐘐	['LINEAR', 'A', 'SIGN', 'AB021F']
U+10611	𐘑	['LINEAR', 'A', 'SIGN', 'AB021M']
U+10612	𐘒	['LINEAR', 'A', 'SIGN', 'AB022']
U+10613	𐘓	['LINEAR', 'A', 'SIGN', 'AB022F']
U+10614	𐘔	['LINEAR', 'A', 'SIGN', 'AB022M']
U+10615	𐘕	['LINEAR', 'A', 'SIGN', 'AB023']
U+10616	𐘖	['LINEAR', 'A', 'SIGN', 'AB023M']
U+10617	𐘗	['LINEAR', 'A', 'SIGN', 'AB024']
U+10618	𐘘	['LINEAR', 'A', 'SIGN', 'AB026']
U+10619	𐘙	['LINEAR', 'A', 'SIGN', 'AB027']
U+1061A	𐘚	['LINEAR', 'A', 'SIGN', 'AB028']
U+1061B	𐘛	['LINEAR', 'A', 'SIGN', 'A028B']
U+1061C	𐘜	['LINEAR', 'A', 'SIGN', 'AB029']
U+1061D	𐘝	['LINEAR', 'A', 'SIGN', 'AB030']
U+1061E	𐘞	['LINEAR', 'A', 'SIGN', 'AB031']
U+1061F	𐘟	['LINEAR', 'A', 'SIGN', 'AB034']
U+10620	𐘠	['LINEAR', 'A', 'SIGN', 'AB037']
U+10621	𐘡	['LINEAR', 'A', 'SIGN', 'AB038']
U+10622	𐘢	['LINEAR', 'A', 'SIGN', 'AB039']
U+10623	𐘣	['LINEAR', 'A', 'SIGN', 'AB040']
U+10624	𐘤	['LINEAR', 'A', 'SIGN', 'AB041']
U+10625	𐘥	['LINEAR', 'A', 'SIGN', 'AB044']
U+10626	𐘦	['LINEAR', 'A', 'SIGN', 'AB045']
U+10627	𐘧	['LINEAR', 'A', 'SIGN', 'AB046']
U+10628	𐘨	['LINEAR', 'A', 'SIGN', 'AB047']
U+10629	𐘩	['LINEAR', 'A', 'SIGN', 'AB048']
U+1062A	𐘪	['LINEAR', 'A', 'SIGN', 'AB049']
U+1062B	𐘫	['LINEAR', 'A', 'SIGN', 'AB050']
U+1062C	𐘬	['LINEAR', 'A', 'SIGN', 'AB051']
U+1062D	𐘭	['LINEAR', 'A', 'SIGN', 'AB053']
U+1062E	𐘮	['LINEAR', 'A', 'SIGN', 'AB054']
U+1062F	𐘯	['LINEAR', 'A', 'SIGN', 'AB055']
U+10630	𐘰	['LINEAR', 'A', 'SIGN', 'AB056']
U+10631	𐘱	['LINEAR', 'A', 'SIGN', 'AB057']
U+10632	𐘲	['LINEAR', 'A', 'SIGN', 'AB058']
U+10633	𐘳	['LINEAR', 'A', 'SIGN', 'AB059']
U+10634	𐘴	['LINEAR', 'A', 'SIGN', 'AB060']
U+10635	𐘵	['LINEAR', 'A', 'SIGN', 'AB061']
U+10636	𐘶	['LINEAR', 'A', 'SIGN', 'AB065']
U+10637	𐘷	['LINEAR', 'A', 'SIGN', 'AB066']
U+10638	𐘸	['LINEAR', 'A', 'SIGN', 'AB067']
U+10639	𐘹	['LINEAR', 'A', 'SIGN', 'AB069']
U+1063A	𐘺	['LINEAR', 'A', 'SIGN', 'AB070']
U+1063B	𐘻	['LINEAR', 'A', 'SIGN', 'AB073']
U+1063C	𐘼	['LINEAR', 'A', 'SIGN', 'AB074']
U+1063D	𐘽	['LINEAR', 'A', 'SIGN', 'AB076']
U+1063E	𐘾	['LINEAR', 'A', 'SIGN', 'AB077']
U+1063F	𐘿	['LINEAR', 'A', 'SIGN', 'AB078']
U+10640	𐙀	['LINEAR', 'A', 'SIGN', 'AB079']
U+10641	𐙁	['LINEAR', 'A', 'SIGN', 'AB080']
U+10642	𐙂	['LINEAR', 'A', 'SIGN', 'AB081']
U+10643	𐙃	['LINEAR', 'A', 'SIGN', 'AB082']
U+10644	𐙄	['LINEAR', 'A', 'SIGN', 'AB085']
U+10645	𐙅	['LINEAR', 'A', 'SIGN', 'AB086']
U+10646	𐙆	['LINEAR', 'A', 'SIGN', 'AB087']
U+10647	𐙇	['LINEAR', 'A', 'SIGN', 'A100', '102']
U+10648	𐙈	['LINEAR', 'A', 'SIGN', 'AB118']
U+10649	𐙉	['LINEAR', 'A', 'SIGN', 'AB120']
U+1064A	𐙊	['LINEAR', 'A', 'SIGN', 'A120B']
U+1064B	𐙋	['LINEAR', 'A', 'SIGN', 'AB122']
U+1064C	𐙌	['LINEAR', 'A', 'SIGN', 'AB123']
U+1064D	𐙍	['LINEAR', 'A', 'SIGN', 'AB131A']
U+1064E	𐙎	['LINEAR', 'A', 'SIGN', 'AB131B']
U+1064F	𐙏	['LINEAR', 'A', 'SIGN', 'A131C']
U+10650	𐙐	['LINEAR', 'A', 'SIGN', 'AB164']
U+10651	𐙑	['LINEAR', 'A', 'SIGN', 'AB171']
U+10652	𐙒	['LINEAR', 'A', 'SIGN', 'AB180']
U+10653	𐙓	['LINEAR', 'A', 'SIGN', 'AB188']
U+10654	𐙔	['LINEAR', 'A', 'SIGN', 'AB191']
U+10655	𐙕	['LINEAR', 'A', 'SIGN', 'A301']
U+10656	𐙖	['LINEAR', 'A', 'SIGN', 'A302']
U+10657	𐙗	['LINEAR', 'A', 'SIGN', 'A303']
U+10658	𐙘	['LINEAR', 'A', 'SIGN', 'A304']
U+10659	𐙙	['LINEAR', 'A', 'SIGN', 'A305']
U+1065A	𐙚	['LINEAR', 'A', 'SIGN', 'A306']
U+1065B	𐙛	['LINEAR', 'A', 'SIGN', 'A307']
U+1065C	𐙜	['LINEAR', 'A', 'SIGN', 'A308']
U+1065D	𐙝	['LINEAR', 'A', 'SIGN', 'A309A']
U+1065E	𐙞	['LINEAR', 'A', 'SIGN', 'A309B']
U+1065F	𐙟	['LINEAR', 'A', 'SIGN', 'A309C']
U+10660	𐙠	['LINEAR', 'A', 'SIGN', 'A310']
U+10661	𐙡	['LINEAR', 'A', 'SIGN', 'A311']
U+10662	𐙢	['LINEAR', 'A', 'SIGN', 'A312']
U+10663	𐙣	['LINEAR', 'A', 'SIGN', 'A313A']
U+10664	𐙤	['LINEAR', 'A', 'SIGN', 'A313B']
U+10665	𐙥	['LINEAR', 'A', 'SIGN', 'A313C']
U+10666	𐙦	['LINEAR', 'A', 'SIGN', 'A314']
U+10667	𐙧	['LINEAR', 'A', 'SIGN', 'A315']
U+10668	𐙨	['LINEAR', 'A', 'SIGN', 'A316']
U+10669	𐙩	['LINEAR', 'A', 'SIGN', 'A317']
U+1066A	𐙪	['LINEAR', 'A', 'SIGN', 'A318']
U+1066B	𐙫	['LINEAR', 'A', 'SIGN', 'A319']
U+1066C	𐙬	['LINEAR', 'A', 'SIGN', 'A320']
U+1066D	𐙭	['LINEAR', 'A', 'SIGN', 'A321']
U+1066E	𐙮	['LINEAR', 'A', 'SIGN', 'A322']
U+1066F	𐙯	['LINEAR', 'A', 'SIGN', 'A323']
U+10670	𐙰	['LINEAR', 'A', 'SIGN', 'A324']
U+10671	𐙱	['LINEAR', 'A', 'SIGN', 'A325']
U+10672	𐙲	['LINEAR', 'A', 'SIGN', 'A326']
U+10673	𐙳	['LINEAR', 'A', 'SIGN', 'A327']
U+10674	𐙴	['LINEAR', 'A', 'SIGN', 'A328']
U+10675	𐙵	['LINEAR', 'A', 'SIGN', 'A329']
U+10676	𐙶	['LINEAR', 'A', 'SIGN', 'A330']
U+10677	𐙷	['LINEAR', 'A', 'SIGN', 'A331']
U+10678	𐙸	['LINEAR', 'A', 'SIGN', 'A332']
U+10679	𐙹	['LINEAR', 'A', 'SIGN', 'A333']
U+1067A	𐙺	['LINEAR', 'A', 'SIGN', 'A334']
U+1067B	𐙻	['LINEAR', 'A', 'SIGN', 'A335']
U+1067C	𐙼	['LINEAR', 'A', 'SIGN', 'A336']
U+1067D	𐙽	['LINEAR', 'A', 'SIGN', 'A337']
U+1067E	𐙾	['LINEAR', 'A', 'SIGN', 'A338']
U+1067F	𐙿	['LINEAR', 'A', 'SIGN', 'A339']
U+10680	𐚀	['LINEAR', 'A', 'SIGN', 'A340']
U+10681	𐚁	['LINEAR', 'A', 'SIGN', 'A341']
U+10682	𐚂	['LINEAR', 'A', 'SIGN', 'A342']
U+10683	𐚃	['LINEAR', 'A', 'SIGN', 'A343']
U+10684	𐚄	['LINEAR', 'A', 'SIGN', 'A344']
U+10685	𐚅	['LINEAR', 'A', 'SIGN', 'A345']
U+10686	𐚆	['LINEAR', 'A', 'SIGN', 'A346']
U+10687	𐚇	['LINEAR', 'A', 'SIGN', 'A347']
U+10688	𐚈	['LINEAR', 'A', 'SIGN', 'A348']
U+10689	𐚉	['LINEAR', 'A', 'SIGN', 'A349']
U+1068A	𐚊	['LINEAR', 'A', 'SIGN', 'A350']
U+1068B	𐚋	['LINEAR', 'A', 'SIGN', 'A351']
U+1068C	𐚌	['LINEAR', 'A', 'SIGN', 'A352']
U+1068D	𐚍	['LINEAR', 'A', 'SIGN', 'A353']
U+1068E	𐚎	['LINEAR', 'A', 'SIGN', 'A354']
U+1068F	𐚏	['LINEAR', 'A', 'SIGN', 'A355']
U+10690	𐚐	['LINEAR', 'A', 'SIGN', 'A356']
U+10691	𐚑	['LINEAR', 'A', 'SIGN', 'A357']
U+10692	𐚒	['LINEAR', 'A', 'SIGN', 'A358']
U+10693	𐚓	['LINEAR', 'A', 'SIGN', 'A359']
U+10694	𐚔	['LINEAR', 'A', 'SIGN', 'A360']
U+10695	𐚕	['LINEAR', 'A', 'SIGN', 'A361']
U+10696	𐚖	['LINEAR', 'A', 'SIGN', 'A362']
U+10697	𐚗	['LINEAR', 'A', 'SIGN', 'A363']
U+10698	𐚘	['LINEAR', 'A', 'SIGN', 'A364']
U+10699	𐚙	['LINEAR', 'A', 'SIGN', 'A365']
U+1069A	𐚚	['LINEAR', 'A', 'SIGN', 'A366']
U+1069B	𐚛	['LINEAR', 'A', 'SIGN', 'A367']
U+1069C	𐚜	['LINEAR', 'A', 'SIGN', 'A368']
U+1069D	𐚝	['LINEAR', 'A', 'SIGN', 'A369']
U+1069E	𐚞	['LINEAR', 'A', 'SIGN', 'A370']
U+1069F	𐚟	['LINEAR', 'A', 'SIGN', 'A371']
U+106A0	𐚠	['LINEAR', 'A', 'SIGN', 'A400', 'VAS']
U+106A1	𐚡	['LINEAR', 'A', 'SIGN', 'A401', 'VAS']
U+106A2	𐚢	['LINEAR', 'A', 'SIGN', 'A402', 'VAS']
U+106A3	𐚣	['LINEAR', 'A', 'SIGN', 'A403', 'VAS']
U+106A4	𐚤	['LINEAR', 'A', 'SIGN', 'A404', 'VAS']
U+106A5	𐚥	['LINEAR', 'A', 'SIGN', 'A405', 'VAS']
U+106A6	𐚦	['LINEAR', 'A', 'SIGN', 'A406', 'VAS']
U+106A7	𐚧	['LINEAR', 'A', 'SIGN', 'A407', 'VAS']
U+106A8	𐚨	['LINEAR', 'A', 'SIGN', 'A408', 'VAS']
U+106A9	𐚩	['LINEAR', 'A', 'SIGN', 'A409', 'VAS']
U+106AA	𐚪	['LINEAR', 'A', 'SIGN', 'A410', 'VAS']
U+106AB	𐚫	['LINEAR', 'A', 'SIGN', 'A411', 'VAS']
U+106AC	𐚬	['LINEAR', 'A', 'SIGN', 'A412', 'VAS']
U+106AD	𐚭	['LINEAR', 'A', 'SIGN', 'A413', 'VAS']
U+106AE	𐚮	['LINEAR', 'A', 'SIGN', 'A414', 'VAS']
U+106AF	𐚯	['LINEAR', 'A', 'SIGN', 'A415', 'VAS']
U+106B0	𐚰	['LINEAR', 'A', 'SIGN', 'A416', 'VAS']
U+106B1	𐚱	['LINEAR', 'A', 'SIGN', 'A417', 'VAS']
U+106B2	𐚲	['LINEAR', 'A', 'SIGN', 'A418', 'VAS']
U+106B3	𐚳	['LINEAR', 'A', 'SIGN', 'A501']
U+106B4	𐚴	['LINEAR', 'A', 'SIGN', 'A502']
U+106B5	𐚵	['LINEAR', 'A', 'SIGN', 'A503']
U+106B6	𐚶	['LINEAR', 'A', 'SIGN', 'A504']
U+106B7	𐚷	['LINEAR', 'A', 'SIGN', 'A505']
U+106B8	𐚸	['LINEAR', 'A', 'SIGN', 'A506']
U+106B9	𐚹	['LINEAR', 'A', 'SIGN', 'A508']
U+106BA	𐚺	['LINEAR', 'A', 'SIGN', 'A509']
U+106BB	𐚻	['LINEAR', 'A', 'SIGN', 'A510']
U+106BC	𐚼	['LINEAR', 'A', 'SIGN', 'A511']
U+106BD	𐚽	['LINEAR', 'A', 'SIGN', 'A512']
U+106BE	𐚾	['LINEAR', 'A', 'SIGN', 'A513']
U+106BF	𐚿	['LINEAR', 'A', 'SIGN', 'A515']
U+106C0	𐛀	['LINEAR', 'A', 'SIGN', 'A516']
U+106C1	𐛁	['LINEAR', 'A', 'SIGN', 'A520']
U+106C2	𐛂	['LINEAR', 'A', 'SIGN', 'A521']
U+106C3	𐛃	['LINEAR', 'A', 'SIGN', 'A523']
U+106C4	𐛄	['LINEAR', 'A', 'SIGN', 'A524']
U+106C5	𐛅	['LINEAR', 'A', 'SIGN', 'A525']
U+106C6	𐛆	['LINEAR', 'A', 'SIGN', 'A526']
U+106C7	𐛇	['LINEAR', 'A', 'SIGN', 'A527']
U+106C8	𐛈	['LINEAR', 'A', 'SIGN', 'A528']
U+106C9	𐛉	['LINEAR', 'A', 'SIGN', 'A529']
U+106CA	𐛊	['LINEAR', 'A', 'SIGN', 'A530']
U+106CB	𐛋	['LINEAR', 'A', 'SIGN', 'A531']
U+106CC	𐛌	['LINEAR', 'A', 'SIGN', 'A532']
U+106CD	𐛍	['LINEAR', 'A', 'SIGN', 'A534']
U+106CE	𐛎	['LINEAR', 'A', 'SIGN', 'A535']
U+106CF	𐛏	['LINEAR', 'A', 'SIGN', 'A536']
U+106D0	𐛐	['LINEAR', 'A', 'SIGN', 'A537']
U+106D1	𐛑	['LINEAR', 'A', 'SIGN', 'A538']
U+106D2	𐛒	['LINEAR', 'A', 'SIGN', 'A539']
U+106D3	𐛓	['LINEAR', 'A', 'SIGN', 'A540']
U+106D4	𐛔	['LINEAR', 'A', 'SIGN', 'A541']
U+106D5	𐛕	['LINEAR', 'A', 'SIGN', 'A542']
U+106D6	𐛖	['LINEAR', 'A', 'SIGN', 'A545']
U+106D7	𐛗	['LINEAR', 'A', 'SIGN', 'A547']
U+106D8	𐛘	['LINEAR', 'A', 'SIGN', 'A548']
U+106D9	𐛙	['LINEAR', 'A', 'SIGN', 'A549']
U+106DA	𐛚	['LINEAR', 'A', 'SIGN', 'A550']
U+106DB	𐛛	['LINEAR', 'A', 'SIGN', 'A551']
U+106DC	𐛜	['LINEAR', 'A', 'SIGN', 'A552']
U+106DD	𐛝	['LINEAR', 'A', 'SIGN', 'A553']
U+106DE	𐛞	['LINEAR', 'A', 'SIGN', 'A554']
U+106DF	𐛟	['LINEAR', 'A', 'SIGN', 'A555']
U+106E0	𐛠	['LINEAR', 'A', 'SIGN', 'A556']
U+106E1	𐛡	['LINEAR', 'A', 'SIGN', 'A557']
U+106E2	𐛢	['LINEAR', 'A', 'SIGN', 'A559']
U+106E3	𐛣	['LINEAR', 'A', 'SIGN', 'A563']
U+106E4	𐛤	['LINEAR', 'A', 'SIGN', 'A564']
U+106E5	𐛥	['LINEAR', 'A', 'SIGN', 'A565']
U+106E6	𐛦	['LINEAR', 'A', 'SIGN', 'A566']
U+106E7	𐛧	['LINEAR', 'A', 'SIGN', 'A568']
U+106E8	𐛨	['LINEAR', 'A', 'SIGN', 'A569']
U+106E9	𐛩	['LINEAR', 'A', 'SIGN', 'A570']
U+106EA	𐛪	['LINEAR', 'A', 'SIGN', 'A571']
U+106EB	𐛫	['LINEAR', 'A', 'SIGN', 'A572']
U+106EC	𐛬	['LINEAR', 'A', 'SIGN', 'A573']
U+106ED	𐛭	['LINEAR', 'A', 'SIGN', 'A574']
U+106EE	𐛮	['LINEAR', 'A', 'SIGN', 'A575']
U+106EF	𐛯	['LINEAR', 'A', 'SIGN', 'A576']
U+106F0	𐛰	['LINEAR', 'A', 'SIGN', 'A577']
U+106F1	𐛱	['LINEAR', 'A', 'SIGN', 'A578']
U+106F2	𐛲	['LINEAR', 'A', 'SIGN', 'A579']
U+106F3	𐛳	['LINEAR', 'A', 'SIGN', 'A580']
U+106F4	𐛴	['LINEAR', 'A', 'SIGN', 'A581']
U+106F5	𐛵	['LINEAR', 'A', 'SIGN', 'A582']
U+106F6	𐛶	['LINEAR', 'A', 'SIGN', 'A583']
U+106F7	𐛷	['LINEAR', 'A', 'SIGN', 'A584']
U+106F8	𐛸	['LINEAR', 'A', 'SIGN', 'A585']
U+106F9	𐛹	['LINEAR', 'A', 'SIGN', 'A586']
U+106FA	𐛺	['LINEAR', 'A', 'SIGN', 'A587']
U+106FB	𐛻	['LINEAR', 'A', 'SIGN', 'A588']
U+106FC	𐛼	['LINEAR', 'A', 'SIGN', 'A589']
U+106FD	𐛽	['LINEAR', 'A', 'SIGN', 'A591']
U+106FE	𐛾	['LINEAR', 'A', 'SIGN', 'A592']
U+106FF	𐛿	['LINEAR', 'A', 'SIGN', 'A594']
U+10700	𐜀	['LINEAR', 'A', 'SIGN', 'A595']
U+10701	𐜁	['LINEAR', 'A', 'SIGN', 'A596']
U+10702	𐜂	['LINEAR', 'A', 'SIGN', 'A598']
U+10703	𐜃	['LINEAR', 'A', 'SIGN', 'A600']
U+10704	𐜄	['LINEAR', 'A', 'SIGN', 'A601']
U+10705	𐜅	['LINEAR', 'A', 'SIGN', 'A602']
U+10706	𐜆	['LINEAR', 'A', 'SIGN', 'A603']
U+10707	𐜇	['LINEAR', 'A', 'SIGN', 'A604']
U+10708	𐜈	['LINEAR', 'A', 'SIGN', 'A606']
U+10709	𐜉	['LINEAR', 'A', 'SIGN', 'A608']
U+1070A	𐜊	['LINEAR', 'A', 'SIGN', 'A609']
U+1070B	𐜋	['LINEAR', 'A', 'SIGN', 'A610']
U+1070C	𐜌	['LINEAR', 'A', 'SIGN', 'A611']
U+1070D	𐜍	['LINEAR', 'A', 'SIGN', 'A612']
U+1070E	𐜎	['LINEAR', 'A', 'SIGN', 'A613']
U+1070F	𐜏	['LINEAR', 'A', 'SIGN', 'A614']
U+10710	𐜐	['LINEAR', 'A', 'SIGN', 'A615']
U+10711	𐜑	['LINEAR', 'A', 'SIGN', 'A616']
U+10712	𐜒	['LINEAR', 'A', 'SIGN', 'A617']
U+10713	𐜓	['LINEAR', 'A', 'SIGN', 'A618']
U+10714	𐜔	['LINEAR', 'A', 'SIGN', 'A619']
U+10715	𐜕	['LINEAR', 'A', 'SIGN', 'A620']
U+10716	𐜖	['LINEAR', 'A', 'SIGN', 'A621']
U+10717	𐜗	['LINEAR', 'A', 'SIGN', 'A622']
U+10718	𐜘	['LINEAR', 'A', 'SIGN', 'A623']
U+10719	𐜙	['LINEAR', 'A', 'SIGN', 'A624']
U+1071A	𐜚	['LINEAR', 'A', 'SIGN', 'A626']
U+1071B	𐜛	['LINEAR', 'A', 'SIGN', 'A627']
U+1071C	𐜜	['LINEAR', 'A', 'SIGN', 'A628']
U+1071D	𐜝	['LINEAR', 'A', 'SIGN', 'A629']
U+1071E	𐜞	['LINEAR', 'A', 'SIGN', 'A634']
U+1071F	𐜟	['LINEAR', 'A', 'SIGN', 'A637']
U+10720	𐜠	['LINEAR', 'A', 'SIGN', 'A638']
U+10721	𐜡	['LINEAR', 'A', 'SIGN', 'A640']
U+10722	𐜢	['LINEAR', 'A', 'SIGN', 'A642']
U+10723	𐜣	['LINEAR', 'A', 'SIGN', 'A643']
U+10724	𐜤	['LINEAR', 'A', 'SIGN', 'A644']
U+10725	𐜥	['LINEAR', 'A', 'SIGN', 'A645']
U+10726	𐜦	['LINEAR', 'A', 'SIGN', 'A646']
U+10727	𐜧	['LINEAR', 'A', 'SIGN', 'A648']
U+10728	𐜨	['LINEAR', 'A', 'SIGN', 'A649']
U+10729	𐜩	['LINEAR', 'A', 'SIGN', 'A651']
U+1072A	𐜪	['LINEAR', 'A', 'SIGN', 'A652']
U+1072B	𐜫	['LINEAR', 'A', 'SIGN', 'A653']
U+1072C	𐜬	['LINEAR', 'A', 'SIGN', 'A654']
U+1072D	𐜭	['LINEAR', 'A', 'SIGN', 'A655']
U+1072E	𐜮	['LINEAR', 'A', 'SIGN', 'A656']
U+1072F	𐜯	['LINEAR', 'A', 'SIGN', 'A657']
U+10730	𐜰	['LINEAR', 'A', 'SIGN', 'A658']
U+10731	𐜱	['LINEAR', 'A', 'SIGN', 'A659']
U+10732	𐜲	['LINEAR', 'A', 'SIGN', 'A660']
U+10733	𐜳	['LINEAR', 'A', 'SIGN', 'A661']
